zh,nature,variants,sources
西瓜,寒,[],kmuh
香蕉,寒,[],kmuh
奇異果,寒,[],kmuh
香瓜,寒,[],kmuh
梨,寒,[],kmuh
枇杷,寒,[],kmuh
李子,寒,[],kmuh
柚子,寒,[],kmuh
葡萄柚,寒,[],kmuh
楊桃,寒,[],kmuh
草莓,寒,[],kmuh
桑葚,寒,[],kmuh
柿子,寒,[],kmuh
番茄,寒,[],kmuh
蘋果,平,[],kmuh
芒果,平,[],kmuh
鳳梨,平,[],kmuh
柳橙,平,[],kmuh
檸檬,平,[],kmuh
葡萄,平,[],kmuh
梅,平,[],kmuh
棗子,平,[],kmuh
椰子,平,[],kmuh
木瓜,平,[],kmuh
甘蔗,平,[],kmuh
菠蘿蜜,平,[],kmuh
無花果,平,[],kmuh
加州李,平,[],kmuh
釋迦,平,[],kmuh
龍眼,溫,[],kmuh
荔枝,溫,[],kmuh
櫻桃,溫,[],kmuh
桃子,溫,[],kmuh
番石榴(芭樂),溫,[],kmuh
榴槤,溫,[],kmuh
橄欖,溫,[],kmuh
金棗,溫,[],kmuh
杏仁,溫,[],kmuh
蘿蔔,寒,[],kmuh
蓮藕,寒,[],kmuh
茄子,寒,[],kmuh
黃瓜,寒,[],kmuh
苦瓜,寒,[],kmuh
絲瓜,寒,[],kmuh
冬瓜,寒,[],kmuh
茭白筍,寒,[],kmuh
竹筍,寒,[],kmuh
菠菜,寒,[],kmuh
油菜,寒,[],kmuh
大白菜,寒,[],kmuh
莧菜,寒,[],kmuh
芥菜,寒,[],kmuh
茼蒿,寒,[],kmuh
芹菜,寒,[],kmuh
芥藍菜,寒,[],kmuh
空心菜,寒,[],kmuh
金針菜,寒,[],kmuh
紅鳳菜,寒,[],kmuh
地瓜葉,寒,[],kmuh
枸杞葉,寒,[],kmuh
落葵,寒,[],kmuh
海帶,寒,[],kmuh
紫菜,寒,[],kmuh
荸薺,寒,[],kmuh
豆薯(涼薯),寒,[],kmuh
瓠子,寒,[],kmuh
蘆薈,寒,[],kmuh
綠豆,寒,[],kmuh
豆腐,寒,[],kmuh
黃豆芽,寒,[],kmuh
薏苡仁,寒,[],kmuh
地瓜,平,[],kmuh
馬鈴薯,平,[],kmuh
菱角,平,[],kmuh
胡蘿蔔,平,[],kmuh
甘藍,平,[],kmuh
香菇,平,[],kmuh
洋菇,平,[],kmuh
木耳,平,[],kmuh
玉米,平,[],kmuh
花生,平,[],kmuh
豌豆,平,[],kmuh
黃豆,平,[],kmuh
黑豆,平,[],kmuh
菜豆,平,[],kmuh
蠶豆,平,[],kmuh
南瓜,溫,[],kmuh
蔥,溫,[],kmuh
洋蔥,溫,[],kmuh
韭菜,溫,[],kmuh
茼蒿,溫,[],kmuh
香菜,溫,[],kmuh
茴香,溫,[],kmuh
九層塔,溫,[],kmuh
生薑,溫,[],kmuh
大蒜,溫,[],kmuh
辣椒,溫,[],kmuh
胡椒,溫,[],kmuh
芥末,溫,[],kmuh
蛤蠣,寒,[],kmuh
牡蠣,寒,[],kmuh
蚌類,寒,[],kmuh
螃蟹,寒,[],kmuh
章魚,寒,[],kmuh
豬腸,寒,[],kmuh
雞蛋清,寒,[],kmuh
鴨血,寒,[],kmuh
豬肉,平,[],kmuh
雞蛋,平,[],kmuh
鵝肉,平,[],kmuh
干貝,平,[],kmuh
魚肉,平,[],kmuh
牛肝,平,[],kmuh
牛肉,溫,[],kmuh
牛肚,溫,[],kmuh
豬肝,溫,[],kmuh
豬肚,溫,[],kmuh
雞肉,溫,[],kmuh
雞蛋黃,溫,[],kmuh
雞肝,溫,[],kmuh
蝦,溫,[],kmuh
鱔魚,溫,[],kmuh
海參,溫,[],kmuh
淡菜,溫,[],kmuh
菊花,寒,[],kmuh
決明子,寒,[],kmuh
薄荷,寒,[],kmuh
仙菜,寒,[],kmuh
西洋參,寒,[],kmuh
人參鬚,寒,[],kmuh
青草茶,寒,[],kmuh
苦茶,寒,[],kmuh
菊花茶,寒,[],kmuh
洛神花茶,寒,[],kmuh
靈芝,平,[],kmuh
蜂蜜,平,[],kmuh
山藥,平,[],kmuh
蓮子,平,[],kmuh
枸杞子,平,[],kmuh
芝麻,平,[],kmuh
白木耳,平,[],kmuh
百合,平,[],kmuh
四神湯,平,[],kmuh
輕補涼湯,平,[],kmuh
山楂,溫,[],kmuh
酒,溫,[],kmuh
醋,溫,[],kmuh
栗子,溫,[],kmuh
核桃,溫,[],kmuh
當歸,溫,[],kmuh
人參,溫,[],kmuh
黃耆,溫,[],kmuh
四物湯,溫,[],kmuh
十全大補湯,溫,[],kmuh
